t,ax,ay,az,gx,gy,gz,mx,my,mz,temp,src
2.78491,-2.58620,8.99691,2.31754,45.74368,-3.91673,42.88995,35.58387,-7.62932,-17.93351,28.85938,comp
2.80903,-3.56472,8.81759,2.72306,50.81009,7.03639,56.69464,36.69617,-8.67913,-18.33072,28.86133,comp
2.82501,-3.93581,7.82980,2.75831,73.01321,7.60036,56.88800,36.33802,-9.72307,-18.31177,28.82227,comp
2.84914,-3.67531,7.36935,4.10401,76.91360,-4.18089,60.71026,37.41712,-9.76134,-16.30005,28.85156,comp
2.86489,-4.22131,7.19074,2.44383,86.85031,-19.56187,46.78632,37.05003,-10.47798,-15.49107,28.90625,full
2.88903,-2.60607,7.17566,2.02977,106.81906,-22.95445,36.84101,35.57347,-11.89205,-13.43638,28.86328,comp
2.90490,-3.97326,8.20008,1.57103,138.05344,-15.02086,45.93476,37.01097,-11.24068,-11.03990,28.86133,comp
2.92893,-3.75793,10.18054,1.80016,137.26047,-11.23766,48.68085,37.36692,-12.31978,-9.00865,28.90234,comp
2.94548,-2.69836,10.11035,2.05772,112.24484,-27.04234,37.32929,36.61399,-13.40181,-6.15708,28.87891,comp
2.96904,-4.32531,9.56690,0.24425,85.69797,-32.41344,18.90742,37.34495,-12.70357,-6.58018,28.89258,comp
2.98519,-3.58898,9.90186,0.05077,92.65500,-48.58531,-14.93633,37.33282,-14.13423,-4.13487,28.88086,comp
3.00894,-3.71765,10.64014,-1.23146,91.19113,-64.51500,-36.78008,38.78692,-13.45943,-3.35313,28.88867,comp
3.02514,-3.22180,11.58106,-1.94533,96.43723,-79.10094,-77.53008,38.37994,-11.04341,-1.36973,28.87695,comp
3.04907,0.69227,11.30078,-0.66017,58.24973,-87.46031,-88.57696,39.82916,-10.72921,0.22500,28.88281,comp
3.06524,-1.43664,8.36133,-2.13380,23.65598,-73.73375,-68.56133,40.53326,-9.01338,1.80605,28.87500,comp
3.08918,-2.34924,9.98633,-1.62257,39.21848,-71.59898,-86.24883,41.26324,-8.67012,1.79043,28.87891,comp
3.10491,-0.83264,9.53931,-2.34230,52.21848,-54.58336,-41.03008,40.12066,-6.95821,4.60097,28.90430,comp
3.12900,-1.39562,8.55835,-1.99635,49.16769,-23.34898,-22.67071,40.85455,-6.96379,4.59346,28.87891,comp
