t,ax,ay,az,gx,gy,gz,mx,my,mz,temp
4.80983,-0.09389,0.34337,-9.78852,-0.09906,0.05408,0.03283,-10.21615,-35.62098,34.59633,28.65234
4.82568,-0.10791,0.35303,-9.81600,0.02124,0.05408,0.09386,-10.95687,-34.21376,34.17861,28.68555
4.84982,-0.10110,0.36376,-9.80564,-0.09558,0.05056,-0.14503,-9.87191,-34.24492,35.76845,28.68750
4.86550,-0.11017,0.34555,-9.78566,-0.09565,0.05408,0.03100,-10.23372,-34.94023,35.78896,28.65039
4.88941,-0.11801,0.34287,-9.80474,0.02294,0.05408,-0.02485,-9.48519,-35.27690,34.57802,28.66016
4.90577,-0.10302,0.34236,-9.77996,-0.03465,0.05235,-0.02485,-9.49348,-34.93510,34.99233,28.65820
4.92946,-0.11174,0.33530,-9.79712,-0.04528,0.05408,0.03444,-11.32844,-35.62895,35.80581,28.63086
4.94586,-0.11693,0.32856,-9.77324,-0.03810,-0.00693,0.03093,-11.31749,-35.61210,34.60756,28.71875
4.96949,-0.11990,0.34318,-9.77659,0.02416,0.02296,0.03444,-9.50792,-34.60331,36.19057,28.65625
4.98969,-0.09781,0.33064,-9.78472,-0.03090,-0.06078,0.04162,-10.58898,-34.91972,34.58901,28.64648
5.00954,-0.11085,0.34770,-9.79381,-0.09559,-0.00694,-0.02307,-10.97057,-34.58574,35.79702,28.66797
5.02551,-0.10748,0.33367,-9.78947,0.00829,0.00770,-0.02659,-10.22643,-35.98710,35.81734,28.61133
5.04947,-0.09959,0.35126,-9.80295,-0.05272,0.00770,0.01977,-10.22753,-34.57792,34.96627,28.67773
5.06535,-0.11176,0.34693,-9.78953,-0.03456,-0.06444,-0.01957,-10.60277,-34.58732,35.78170,28.63086
5.09099,-0.10341,0.34554,-9.77506,-0.03805,0.02421,0.00468,-10.22034,-34.92297,34.57948,28.70898
5.10553,-0.11238,0.33843,-9.78308,0.02296,-0.00690,0.03457,-10.23393,-34.23693,35.37489,28.67773
