t_s,u,gyro_dps
1.2220,0.0130,-1.90
1.2240,0.0140,-1.30
1.2260,0.0150,-0.90
1.2280,0.0160,-0.60
1.2300,0.0180,-0.40
1.2320,0.0190,-0.30
1.2340,0.0200,-0.20
1.2360,0.0220,-0.10
1.2380,0.0230,-0.10
1.2400,0.0240,0.00
1.2420,0.0260,0.00
1.2440,0.0270,-0.60
1.2460,0.0290,-1.10
1.2480,0.0300,-1.40
1.2500,0.0310,-1.70
1.2520,0.0320,-1.80
1.2540,0.0330,-1.40
1.2560,0.0330,-1.00
1.2580,0.0340,-0.80
1.2600,0.0340,-0.60
1.2620,0.0340,-0.50
1.2640,0.0340,-0.80
1.2660,0.0340,-1.00
1.2680,0.0340,-1.10
1.2700,0.0340,-1.20
1.2720,0.0340,-1.30
1.2740,0.0330,-1.40
1.2760,0.0320,-1.40
1.2780,0.0320,-1.50
1.2800,0.0310,-1.50
1.2820,0.0300,-1.50
1.2840,0.0280,-1.60
1.2860,0.0270,-1.70
1.2880,0.0260,-1.70
1.2900,0.0250,-1.80
1.2920,0.0230,-1.80
1.2940,0.0220,-1.70
1.2960,0.0200,-1.60
1.2980,0.0190,-1.50
1.3000,0.0170,-1.50
1.3020,0.0160,-1.40
1.3040,0.0140,-1.30
1.3060,0.0130,-1.00
1.3080,0.0110,-0.80
1.3100,0.0100,-0.70
1.3120,0.0090,-0.60
1.3140,0.0080,-0.80
1.3160,0.0070,-1.20
1.3180,0.0060,-1.40
1.3200,0.0060,-1.60
1.3220,0.0050,-1.70
1.3240,0.0050,-2.00
1.3260,0.0050,-2.40
1.3280,0.0050,-2.80
1.3300,0.0060,-3.00
1.3320,0.0060,-3.10
1.3340,0.0060,-3.20
1.3360,0.0070,-3.10
1.3380,0.0080,-3.10
1.3400,0.0090,-3.10
1.3420,0.0100,-3.10
1.3440,0.0110,-3.00
1.3460,0.0120,-2.60
1.3480,0.0130,-2.30
1.3500,0.0140,-2.20
1.3520,0.0160,-2.00
1.3540,0.0170,-2.10
1.3560,0.0190,-2.30
1.3580,0.0210,-2.40
1.3600,0.0220,-2.50
1.3620,0.0240,-2.60
1.3640,0.0250,-2.60
1.3660,0.0270,-3.60
1.3680,0.0290,-4.40
1.3700,0.0310,-4.90
1.3720,0.0320,-5.20
1.3740,0.0330,-5.40
1.3760,0.0340,-4.60
1.3780,0.0340,-3.90
1.3800,0.0350,-3.50
1.3820,0.0350,-3.20
1.3840,0.0360,-3.00
1.3860,0.0360,-2.70
1.3880,0.0360,-2.50
1.3900,0.0350,-2.40
1.3920,0.0350,-2.30
1.3940,0.0350,-2.20
1.3960,0.0340,-2.40
1.3980,0.0340,-2.80
1.4000,0.0330,-3.00
1.4020,0.0320,-3.20
1.4040,0.0310,-3.30
1.4060,0.0300,-3.50
1.4080,0.0280,-3.80
1.4100,0.0270,-3.90
1.4120,0.0250,-4.00
1.4140,0.0240,-4.10
1.4160,0.0220,-3.90
1.4180,0.0210,-3.80
1.4200,0.0190,-3.70
1.4220,0.0170,-3.60
1.4240,0.0160,-3.60
1.4260,0.0140,-3.20
1.4280,0.0120,-2.60
1.4300,0.0110,-2.20
1.4320,0.0100,-1.90
1.4340,0.0080,-1.80
1.4360,0.0080,-1.90
1.4380,0.0070,-2.10
1.4400,0.0070,-2.40
1.4420,0.0060,-2.50
1.4440,0.0060,-2.60
1.4460,0.0060,-2.80
1.4480,0.0060,-3.00
1.4500,0.0070,-3.20
1.4520,0.0080,-3.30
1.4540,0.0080,-3.40
1.4560,0.0090,-3.50
1.4580,0.0110,-4.00
1.4600,0.0120,-4.20
1.4620,0.0130,-4.40
